Code ECTS;Date;Promo;Matière;Enseignant;Horaire;Duree;†salle
1MGT;jeudi 28 janvier 2016;1;IT Management 1 ñ Company, SI, IT jobs and responsibilities SOE (Duree 10') (selon planning regional);PLANCHON;09:00;2;
1MGT;jeudi 28 janvier 2016;1;IT Management 1 ñ Company, SI, IT jobs and responsibilities SOE (Duree 10') (selon planning regional);PLANCHON;11:00;2;
1CPA;jeudi 28 janvier 2016;1;Computer Architecture TP (Duree 2H);CAMPUS;14:00;2;
1GCC;jeudi 28 janvier 2016;1;C Language;ONLINE;18:00;2;
1MGT;vendredi 29 janvier 2016;1;IT Management 1 ñ Company, SI, IT jobs and responsibilities SOE (Duree 10') (selon planning regional);PLANCHON;09:00;2;
1MGT;vendredi 29 janvier 2016;1;IT Management 1 ñ Company, SI, IT jobs and responsibilities SOE (Duree 10') (selon planning regional);PLANCHON;11:00;2;
1CNA;vendredi 29 janvier 2016;1;CCNA Exploration - Modules 1† & 2 TP (Duree 4H);CAMPUS;14:00;2;
1CNA;vendredi 29 janvier 2016;1;CCNA Exploration - Modules 1† & 2 TP (Duree 4H);CAMPUS;16:00;2;
1GCC;vendredi 29 janvier 2016;1;C Language;ONLINE;18:00;2;
1ARI;lundi 1 fÈvrier 2016;1;Arithmetic and Cryptography;FORATO;09:00;2;
1ARI;lundi 1 fÈvrier 2016;1;Arithmetic and Cryptography;FORATO;11:00;2;
1ARI;lundi 1 fÈvrier 2016;1;Arithmetic and Cryptography;FORATO;14:00;2;
1ARI;lundi 1 fÈvrier 2016;1;Arithmetic and Cryptography;FORATO;16:00;2;
1ARI;mardi 2 fÈvrier 2016;1;Arithmetic and Cryptography;FORATO;09:00;2;
1ARI;mardi 2 fÈvrier 2016;1;Arithmetic and Cryptography;FORATO;11:00;2;
1ARI;mardi 2 fÈvrier 2016;1;Arithmetic and Cryptography;FORATO;14:00;2;
1ARI;mardi 2 fÈvrier 2016;1;Arithmetic and Cryptography;FORATO;16:00;2;
1WEB;jeudi 4 fÈvrier 2016;1;HTML & JavaScript - User Interface;BENZAOUI;09:00;2;
1WEB;jeudi 4 fÈvrier 2016;1;HTML & JavaScript - User Interface;BENZAOUI;11:00;2;
1WEB;jeudi 4 fÈvrier 2016;1;HTML & JavaScript - User Interface;BENZAOUI;14:00;2;
1WEB;jeudi 4 fÈvrier 2016;1;HTML & JavaScript - User Interface;BENZAOUI;16:00;2;
1ARI;lundi 8 fÈvrier 2016;1;Arithmetic and Cryptography;FORATO;09:00;2;
1ARI;lundi 8 fÈvrier 2016;1;Arithmetic and Cryptography;FORATO;11:00;2;
1ARI;lundi 8 fÈvrier 2016;1;Arithmetic and Cryptography;FORATO;14:00;2;
1ARI;lundi 8 fÈvrier 2016;1;Arithmetic and Cryptography;FORATO;16:00;2;
1WEB;mardi 9 fÈvrier 2016;1;HTML & JavaScript - User Interface;BENZAOUI;09:00;2;
1WEB;mardi 9 fÈvrier 2016;1;HTML & JavaScript - User Interface;BENZAOUI;11:00;2;
1WEB;mardi 9 fÈvrier 2016;1;HTML & JavaScript - User Interface;BENZAOUI;14:00;2;
1WEB;mardi 9 fÈvrier 2016;1;HTML & JavaScript - User Interface;BENZAOUI;16:00;2;
1WEB;jeudi 11 fÈvrier 2016;1;HTML & JavaScript - User Interface;BENZAOUI;09:00;2;
1WEB;jeudi 11 fÈvrier 2016;1;HTML & JavaScript - User Interface;BENZAOUI;11:00;2;
1WEB;jeudi 11 fÈvrier 2016;1;HTML & JavaScript - User Interface;BENZAOUI;14:00;2;
1WEB;jeudi 11 fÈvrier 2016;1;HTML & JavaScript - User Interface;BENZAOUI;16:00;2;
1MER;lundi 15 fÈvrier 2016;1;Merise modeling for databases TP (Duree 2H);CAMPUS;14:00;2;
1MGT;lundi 15 fÈvrier 2016;1;IT Management 1 ñ Company, SI, IT jobs and responsibilities QCM (Duree 2H);CAMPUS;16:00;2;
1ENG;mardi 16 fÈvrier 2016;1;English Language† QCM† (SGES1);CAMPUS;14:00;2;
1ARI;jeudi 18 fÈvrier 2016;1;Arithmetic and Cryptography TP (Duree 4H);CAMPUS;14:00;2;
1ARI;jeudi 18 fÈvrier 2016;1;Arithmetic and Cryptography TP (Duree 4H);CAMPUS;16:00;2;
1OSS;lundi 7 mars 2016;1;Operating Systems Fundamentals;BUFFET;09:00;2;
1OSS;lundi 7 mars 2016;1;Operating Systems Fundamentals;BUFFET;11:00;2;
1OSS;lundi 7 mars 2016;1;Operating Systems Fundamentals;BUFFET;14:00;2;
1OSS;lundi 7 mars 2016;1;Operating Systems Fundamentals;BUFFET;16:00;2;
1OSS;mardi 8 mars 2016;1;Operating Systems Fundamentals;BUFFET;09:00;2;
1OSS;mardi 8 mars 2016;1;Operating Systems Fundamentals;BUFFET;11:00;2;
1OSS;mardi 8 mars 2016;1;Operating Systems Fundamentals;BUFFET;14:00;2;
1OSS;mardi 8 mars 2016;1;Operating Systems Fundamentals;BUFFET;16:00;2;
1OSS;jeudi 10 mars 2016;1;Operating Systems Fundamentals;BUFFET;09:00;2;
1OSS;jeudi 10 mars 2016;1;Operating Systems Fundamentals;BUFFET;11:00;2;
1LIN;jeudi 10 mars 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;14:00;2;
1LIN;jeudi 10 mars 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;16:00;2;
1LIN;vendredi 11 mars 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;09:00;2;
1LIN;vendredi 11 mars 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;11:00;2;
1LIN;vendredi 11 mars 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;14:00;2;
1LIN;vendredi 11 mars 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;16:00;2;
1LIN;lundi 14 mars 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;09:00;2;
1LIN;lundi 14 mars 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;11:00;2;
1LIN;lundi 14 mars 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;14:00;2;
1LIN;lundi 14 mars 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;16:00;2;
1LIN;mardi 15 mars 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;09:00;2;
1LIN;mardi 15 mars 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;11:00;2;
1LIN;mardi 15 mars 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;14:00;2;
1LIN;mardi 15 mars 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;16:00;2;
1SJF;mercredi 16 mars 2016;1;SUPINFO Job Forum A.Sc,1;CAMPUS;14:00;2;
1SJF;mercredi 16 mars 2016;1;SUPINFO Job Forum A.Sc,1;CAMPUS;16:00;2;
1WEB;jeudi 17 mars 2016;1;HTML & JavaScript - User Interface;BENZAOUI;09:00;2;
1WEB;jeudi 17 mars 2016;1;HTML & JavaScript - User Interface;BENZAOUI;11:00;2;
1WEB;jeudi 17 mars 2016;1;HTML & JavaScript - User Interface;BENZAOUI;14:00;2;
1WEB;jeudi 17 mars 2016;1;HTML & JavaScript - User Interface;BENZAOUI;16:00;2;
1WEB;vendredi 18 mars 2016;1;HTML & JavaScript - User Interface;BENZAOUI;09:00;2;
1WEB;vendredi 18 mars 2016;1;HTML & JavaScript - User Interface;BENZAOUI;11:00;2;
1WEB;vendredi 18 mars 2016;1;HTML & JavaScript - User Interface;BENZAOUI;14:00;2;
1WEB;vendredi 18 mars 2016;1;HTML & JavaScript - User Interface;BENZAOUI;16:00;2;
1WEB;lundi 21 mars 2016;1;HTML & JavaScript - User Interface;BENZAOUI;09:00;2;
1WEB;lundi 21 mars 2016;1;HTML & JavaScript - User Interface;BENZAOUI;11:00;2;
1WEB;lundi 21 mars 2016;1;HTML & JavaScript - User Interface;BENZAOUI;14:00;2;
1WEB;lundi 21 mars 2016;1;HTML & JavaScript - User Interface;BENZAOUI;16:00;2;
1ARI;mardi 22 mars 2016;1;Arithmetic and Cryptography Soutenance Mini Projet† (2 etudiants - Duree 20') (selon planning regional);FORATO;09:00;2;
